peak_wavelength,start_wavelength,end_wavelength,width,depth,left_area,right_area,symmetry,area_ratio,total_area,mineral
2.16949,1.83475,2.27119,0.43644,0.25815,4.3447,1.29175,0.766978279,3.363421715,5.63645,alunite
2.16525,1.83263,2.27119,0.43856,0.51173,6.399,2.34908,0.758436702,2.724045158,8.74808,alunite
2.16395,1.82627,2.2689,0.44263,0.47757,4.42724,2.94634,0.762894517,1.502623594,7.37358,alunite
2.16623,1.82627,2.2689,0.44263,0.47757,4.90481,2.46877,0.768045546,1.986742386,7.37358,alunite
2.1673,1.82415,2.27542,0.45127,0.4371,4.52362,2.27424,0.760409511,1.989068876,6.79786,alunite
2.16199,1.82676,2.28031,0.45355,0.66692,113.54079,40.57752579,0.739124683,2.798120087,154.1183158,alunite
2.15841,1.82315,2.27493,0.45178,0.74918,98.18478,43.88878,0.742086856,2.23712712,142.07356,alunite
2.1602,1.83214,2.27493,0.44279,0.63498,98.38284511,37.07941,0.740892974,2.653301256,135.4622551,alunite
2.15466,1.84534,2.26483,0.41949,0.62979,8.22552,4.2925,0.73737157,1.916253931,12.51802,alunite
2.15841,1.82317,2.27314,0.44997,0.74664,98.33472,43.82183023,0.745027446,2.243966523,142.1565502,alunite
2.16199,1.82317,2.27314,0.44997,0.76551,104.7512422,42.72614,0.752983532,2.451689813,147.4773822,alunite
2.16558,1.83035,2.27673,0.44638,0.31854,37.08398,15.44985,0.750996908,2.400280909,52.53383,alunite
2.20551,2.10593,2.25,0.14407,0.23105,1.3064,0.21137,0.691191782,6.180631121,1.51777,kaolinite
2.20502,2.10463,2.25522,0.15059,0.24591,1.41325,0.24007,0.666644532,5.886824676,1.65332,kaolinite
2.20551,2.10381,2.26483,0.16102,0.2103,1.1621,0.22816,0.631598559,5.09335554,1.39026,kaolinite
2.20551,2.0572,2.25636,0.19916,0.1996,1.4444,0.2152,0.744677646,6.711895911,1.6596,kaolinite
2.20763,2.10593,2.25424,0.14831,0.14831,1.26479,0.20497,0.685725845,6.170610333,2.41829,kaolinite
2.2086,2.06519,2.25342,0.18823,0.20898,12.62651,1.873791851,0.761887053,6.738480581,14.50030185,kaolinite
2.20551,2.06568,2.26271,0.19703,0.22709,1.418,0.23213,0.70968888,6.108646017,1.65013,kaolinite
2.20551,2.10381,2.25847,0.15466,0.24225,1.41519,0.21673,0.657571447,6.529737461,1.63192,kaolinite
2.20551,2.05508,2.27542,0.22034,0.25109,1.45283,0.3304,0.682717618,4.39718523,1.78323,kaolinite
2.20502,2.10463,2.2575,0.15287,0.18662,0.96305,0.27799,0.656701773,3.464333249,1.24104,kaolinite
2.20551,2.13559,2.2839,0.14831,0.11016,0.2876,0.33278,0.471444946,0.864234629,0.62038,montmorillonite
2.20763,2.125,2.2839,0.1589,0.14718,0.48801,0.35568,0.520012587,1.372047908,0.84369,montmorillonite
2.20551,2.13347,2.27542,0.14195,0.15055,0.55953,0.37917,0.507502642,1.475670544,0.9387,montmorillonite
2.21398,2.16379,2.26956,0.10577,0.1234,1.96093,2.881521793,0.474520185,0.680518886,4.842451793,montmorillonite
2.21398,2.15678,2.27754,0.12076,0.11842,0.15489,0.32609,0.473666777,0.474991567,0.48098,montmorillonite
2.21398,2.17585,2.27542,0.09957,0.01499,0.12858,0.3063,0.382946671,0.419784525,0.43488,montmorillonite
2.21398,2.16525,2.28602,0.12077,0.13064,0.16356,0.430427053,0.403494245,0.379994703,0.593987053,montmorillonite
2.22784,2.11636,2.47034,0.35398,0.01276,0.08082827,0.206410438,0.314933047,0.391590032,0.287238708,montmorillonite
2.20502,2.13331,2.27852,0.14521,0.14664,4.02297143,4.41272,0.493836513,0.911676116,8.43569143,montmorillonite

